level_version= 4.22
{
    musicpath= "resources/songs/demo.ogg"
    creator= infernointeractive
    description= "i am stupid"
}

[SECTOR]
1 0 68 0.0 5.0

[WALL]
45 12 72 12 0
81 39 54 51 0
54 51 21 36 0
21 36 45 12 0
51 27 51 30 0
51 30 57 30 0
57 30 57 27 0
57 27 51 27 0
56.7 30 59.7 36 0
60 36 63 27 0
63 27 63 27 0
63 27 63.2 27 0
63.2 27 60.2 36 0
60 36 60 36 0
60 36 60.2 36 0
57 30 60 36 0
60 36 60 36 0
60 36 59.7 36 0
63 27 63.2 26.3 0
63.2 26.3 63.2 27 0
59.7 36 60 37 0
60 37 60.2 36 0
54 30 54 33 0
54 33 55.1 33 0
55.1 33 55.1 32.7 0
55.1 32.7 54.2 32.7 0
54.2 32.7 54.2 30 0
42 15 42 39 0
42 39 41.2 39 0
41.2 39 41.1 15.9 0
42 39 43.7 40.5 0
41.2 39 43.7 40.5 0
45 18 48 18 0
48 18 51 15 0
51 15 45 15 0
45 15 45 18 0
72 12 78 27 0
81 39 78 30 0
78 27 84 27 0
78 30 84 30 0
84 27 84 27.8 0
84 30 84 29.2 0
99 27 108 27 0
108 27 111 33 0
111 33 111 42 0
111 42 108 48 0
108 48 99 48 0
99 48 96 42 0
96 42 96 33 0
96 33 99 27 0
111 33 114 27 0
114 27 123 27 0
123 27 126 33 0
126 33 126 42 0
126 42 123 48 0
123 48 114 48 0
114 48 111 42 0
102 27 102 -15 0
102 -15 108 -21 0
108 -21 117 -21 0
117 -21 120 -15 0
120 -15 120 27 0
102 -9 108 -6 0
108 -6 117 -6 0
83.8 27.8 83.8 27 0
83.8 27.8 84 27.8 0
84 29.2 83.8 29.2 0
83.8 29.2 83.8 30 0

[TEXTURES]
1=resources/textures/brickaaaaaaaaa.png
